"Speaker Name","Start Time","End Time","Text"
"Nick Herrgott","00:46:23:04","00:46:25:05","It was fun. I liked this one and."
"James Somerton","00:46:25:05","00:46:27:03","We got to avoid watching Hamilton."
"Nick Herrgott","00:46:27:04","00:46:29:05","We got to avoid watching him."
"James Somerton","00:46:29:06","00:46:32:03","We were going to watch and compare the producers and Hamilton the."
"Nick Herrgott","00:46:32:03","00:46:35:16","Producers movie, the 2005 or five remake."
"James Somerton","00:46:35:21","00:46:40:03","And and I just started this last night. That was a good idea."
"Nick Herrgott","00:46:40:04","00:46:51:09","We've been dreading it. We did not want to watch Hamilton. I want to I don't want to watch. I really don't want to watch Hamilton."
"James Somerton","00:46:51:09","00:46:54:06","It's like when people ask me about the supernatural video. I'm like."
"Speaker 2","00:46:54:11","00:46:55:12","Especially with."
"Nick Herrgott","00:46:55:17","00:47:00:00","The the weird reason I don't want to watch Hannibal, and this is weird Hamilton, but I say."
"James Somerton","00:47:00:01","00:47:00:14","Hannibal."
"Nick Herrgott","00:47:00:14","00:47:01:15","Hannibal, I do want to watch."
"James Somerton","00:47:01:15","00:47:02:16","Hannibal. You watched Hannibal."
"Nick Herrgott","00:47:03:10","00:47:03:20","Where is."
"James Somerton","00:47:03:20","00:47:04:11","Season four?"
"Nick Herrgott","00:47:04:11","00:47:06:10","Where it's season four? They could just do a movie."
"James Somerton","00:47:07:09","00:47:14:14","Oh, we've talked about we won't get into the details we've talked about on stream and stuff, but trans Clarice. Trans Clarice. That's how you do The Silence of the Lambs story."
"Nick Herrgott","00:47:15:05","00:47:22:05","Um, so like, I didn't want to watch Hamilton because, like, out of all of the royals in the world."
"Speaker 2","00:47:22:19","00:47:26:18","What But correct, you out."
"Nick Herrgott","00:47:26:18","00:47:43:15","Of all the royals in the world, I actually have the most respect for King George. I don't remember it. I think it's King George the fifth. Something that specific King George, because I'm like, he struggled a lot with mental health. Yeah. And probably neurodivergent. And he stayed alive in spite of it, which."
"James Somerton","00:47:43:15","00:47:46:14","Is being dealt with on the Netflix show. Queen Charlotte."
"Nick Herrgott","00:47:46:15","00:47:49:01","Which I've heard is actually really, really good. My mom, like my."
"James Somerton","00:47:49:01","00:47:51:23","Mom brilliant, has been telling me to watch it, but I need to get through glamorous."
"Nick Herrgott","00:47:51:23","00:47:56:12","First. My mom liked Queen Charlotte, the mini series way better than George Bridgerton. She said she."
"James Somerton","00:47:56:15","00:47:59:15","Has no interest in Bridgerton, but I am interested in Queen Charlotte."
"Nick Herrgott","00:47:59:18","00:48:07:00","Tonight. I watched in for a bit of Queen Charlotte and I was like, I know it's going. I like, I like what's going on there. So yeah, quick. King George, I'm a big."
"James Somerton","00:48:07:00","00:48:15:15","Fan actor who plays King George in Queen Charlotte is also openly gay and he's playing a straight lead. Yeah, and I'm a romantic straight lead. And I'm like, Oh, boy, God, Go."
"Nick Herrgott","00:48:15:16","00:48:34:20","Yeah, go off. So like, yeah. King George dealt with a lot of mental health problems when he got to a point in his career where he couldn't continue doing public appearances, he went and actually managed the kingdom. Yeah. And fought for a lot of, you know, humanitarian rights and stuff and the rhetoric. And he was toasted well into the American Revolution by the."
"James Somerton","00:48:34:20","00:48:36:15","By the by the by the founding."
"Nick Herrgott","00:48:36:20","00:49:00:02","Fathers. Their beef was with English parliament, not the crown. Yeah, but when they started realizing we're not going to win this, they turned to a propaganda smear campaign and turned him into the mad King. Yeah. So he was not the villain of this story. And like, Hamilton kind of just represents to me this, kind of archetypical American fix for propaganda is let's replace the existing propaganda with other different propaganda."
"Nick Herrgott","00:49:00:02","00:49:00:23","That's also not true."
"James Somerton","00:49:00:23","00:49:13:02","Yeah, let's literally anyway change the Constitution. No, we'll not change the costumes, but yeah. So yeah. Thank you guys so much for listening. I hope you enjoyed it. Please leave comments in the wherever you want to leave."
"Nick Herrgott","00:49:13:06","00:49:16:13","Where they get read for Phil, for for having, you know, an inkling of support for King George."
"Speaker 2","00:49:16:14","00:49:17:03","Oh, probably."
"James Somerton","00:49:19:04","00:49:31:12","I hope you all had a wonderful 4th of July weekend. And I hope you have a wonderful coming week. And we'll be back. We actually will be back with another episode because now Nick is within driving distance and."
"Nick Herrgott","00:49:31:12","00:49:34:01","We have a format, too, because it was so hard to come up with podcast."
"James Somerton","00:49:34:02","00:49:35:10","Oh, God, it was so. And I."
"Nick Herrgott","00:49:35:10","00:49:37:10","Mean, I'll talk about anything for our ends."
"James Somerton","00:49:37:10","00:49:54:17","But now we just have a list of movies we can get them. Yeah, it's wonderful. Thank you guys so much for suggesting so many movies to. So yeah, thank you for listening. And my name is James. I'm Nick and yeah, we're going to keep going in raw. I don't know how to end it."
"Speaker 2","00:49:54:17","00:49:55:21","Okay. All right. Goodbye."
"Speaker 1","00:49:57:00","00:50:19:18","Sensitive on. Peeling back my skin to tell me. But so of this by myself, Phil just got me."
